TELEGRAM_DATE;TELEGRAM_TYPE;BALAST_FLAG;LATITUDE_DEGREES;LATITUDE_SECONDS;LONGITUDE_DEGREES;LONGITUDE_SECONDS;VESSEL_COURSE;DRAFT;ENGINE_RPM;WIND_DIRECTION;WIND_FORCE;AVERAGE_SPEED;HOURS_SLC;MINUTES_SLC;ME_CONS_24H;TRIM;ME_CONS_PER_MILE;WAVEH;WAVED;SWELLH;SWELLD
2010-04-30 12:00:00;N;B;10;32;37;53;90;6.6;103.9;180;3;0.0;23;0;28.246956521739133;1.8;0;3;180;3;180
2009-12-25 06:00:00;A;B;37;43;44;46;67;6.58;118.0;135;4;0.0;17;0;29.294117647058822;1.56;0;3;180;3;180
2010-03-25 12:00:00;N;B;2;22;51;26;247;6.6;116.0;225;3;0.0;0;48;0.0;1.8;0;2;225;2;225
2010-03-26 12:00:00;N;B;4;25;49;27;202;6.6;104.6;225;7;0.0;24;0;24.52;1.8;0;7;225;7;225
2010-02-03 12:00:00;N;L;18;3;36;48;90;10.55;117.1;45;6;0.0;15;12;30.836842105263162;0;0;6;45;6;45
2010-02-17 12:00:00;N;B;33;16;32;44;157;6.51;105.2;112;4;0.0;21;0;28.674285714285713;1.78;0;3;112;3;135
2010-03-02 12:00:00;N;B;21;26;36;55;135;6.6;117.9;315;6;0.0;24;0;30.66;1.8;0;5;315;6;315
2010-03-03 12:00:00;N;B;25;47;39;55;22;6.6;117.9;22;6;0.0;21;54;31.419178082191785;1.8;0;5;22;5;22
2010-03-15 12:00:00;N;L;19;25;36;49;270;9.5;117.8;315;5;0.0;25;0;30.6816;0;0;4;315;4;315
2010-05-09 12:00:00;N;B;14;7;36;29;0;6.6;117.8;315;3;0.0;15;42;31.077707006369426;1.8;0;2;315;2;315
2010-03-22 12:00:00;N;L;1;59;49;54;67;9.5;118.0;180;5;0.0;24;0;29.649999999999995;0;0;4;180;4;180
2010-03-23 02:00:00;A;L;3;20;51;49;90;9.4;117.7;270;3;0.0;14;0;30.291428571428575;0;0;2;270;2;270
