FOC,PERC
36.0,28.542858
36.0,27.869495
36.0,29.263174
37.44,33.386417
36.0,32.217625
36.0,33.206497
37.44,33.47291
36.0,29.080889
34.56,28.578648
36.0,33.310715
37.44,33.15885
36.0,28.9917
36.0,32.358788
38.88,41.415237
40.32,39.3026
41.76,42.522102
36.0,31.316221
37.44,35.848896
37.44,34.90735
37.44,34.35686
36.0,35.366364
37.44,36.421062
37.44,36.018948
36.0,31.420815
38.88,40.189014
38.88,37.45062
37.44,35.329662
40.32,40.37074
40.32,40.293827
37.44,33.876743
37.44,34.326336
36.0,33.26389
38.88,36.96216
37.44,34.07415
36.0,31.747374
37.44,34.40599
38.88,36.49367
37.44,33.333702
36.0,30.92556
36.0,32.274124
37.44,35.300755
36.0,30.936802
36.0,31.983131
40.32,37.52739
40.32,41.05128
40.32,37.57351
38.88,35.63087
37.44,34.314884
38.88,38.443504
38.88,37.734703
36.0,32.65367
36.0,32.058163
37.44,35.713127
36.0,30.67449
36.0,33.415977
36.0,32.266113
37.44,35.01939
38.88,36.100082
38.88,33.188457
37.44,32.47335
37.44,32.925556
36.0,31.154802
36.0,30.872238
37.44,32.519062
36.0,29.044014
36.0,32.924522
37.44,31.99527
37.44,32.28477
37.44,32.60955
36.0,31.655947
36.0,29.661688
37.44,34.477966
37.44,33.957176
40.32,39.325565
38.88,37.64189
38.88,35.53676
37.44,35.190582
36.0,33.076244
36.0,29.077488
36.0,30.01647
37.44,34.36769
36.0,29.71149
37.44,33.507328
36.0,32.104855
36.0,31.755268
34.56,26.808939
36.0,31.342485
36.0,30.541086
38.88,36.0764
38.88,43.34481
36.0,29.801905
36.0,30.823442
36.0,39.504612
36.0,29.010576
36.0,31.942013
37.44,8.191196
36.0,31.265747
36.0,32.4296
38.88,44.18661
36.0,31.937632
36.0,31.579372
37.44,9.78532
36.0,32.008533
38.88,39.03331
37.44,41.881645
38.88,35.759705
40.32,39.667503
36.0,38.81079
36.0,32.249336
37.44,32.496487
36.0,6.14304
36.0,30.198902
38.88,38.322735
37.44,42.479618
37.44,38.133602
38.88,39.74384
37.44,10.567914
36.0,31.77219
37.44,35.539654
40.32,46.809563
40.32,39.32685
36.0,30.650488
34.56,3.4065046
37.44,34.086258
37.44,35.13029
36.0,41.479225
36.0,33.54657
36.0,33.01102
38.88,39.856266
37.44,37.854492
37.44,35.96507
38.88,42.040222
37.44,40.160015
38.88,39.895542
37.44,39.513885
37.44,38.715378
36.0,34.062088
36.0,35.57155
38.88,37.328735
36.0,33.79682
36.0,34.438694
40.32,41.071323
38.88,39.885445
36.0,35.628872
38.88,39.758892
36.0,33.853783
36.0,32.30614
37.44,34.906742
36.0,32.07256
36.0,34.405983
38.88,40.950695
36.0,34.33732
36.0,35.631763
40.32,42.08394
38.88,40.30717
37.44,37.083984
37.44,36.62181
38.88,37.742287
37.44,37.826912
38.88,41.09131
38.88,40.012848
36.0,35.21682
36.0,34.773212
37.44,36.395405
37.44,37.69801
37.44,38.33287
37.44,38.043964
36.0,34.98112
38.88,39.093475
41.76,44.760914
38.88,39.94799
36.0,34.020287
38.88,40.9293
37.44,37.263638
36.0,36.561733
38.88,40.422657
37.44,39.40887
37.44,38.695694
38.88,39.686478
36.0,37.04686
37.44,38.895893
38.88,41.790253
37.44,38.48567
37.44,37.7843
37.44,38.331417
40.32,42.47568
40.32,44.15168
38.88,41.722122
37.44,40.089424
36.0,36.2049
36.0,35.754402
37.44,38.375988
36.0,33.307076
34.56,30.739769
36.0,32.296944
36.0,31.954988
37.44,36.120377
34.56,30.242718
37.44,36.609604
38.88,39.426933
38.88,38.02792
37.44,35.338657
38.88,39.45049
37.44,37.387703
36.0,34.378563
36.0,30.966293
36.0,33.74796
36.0,32.69891
37.44,35.483204
37.44,33.496727
36.0,32.55787
36.0,32.46497
36.0,31.70662
36.0,32.10817
36.0,30.776924
34.56,27.951431
37.44,35.40974
36.0,34.87826
36.0,32.374397
38.88,40.006916
37.44,36.893448
34.56,31.472631
36.0,30.472395
36.0,32.013123
36.0,32.288326
36.0,32.914734
37.44,34.224583
34.56,27.856537
36.0,31.335
34.56,27.781979
36.0,30.841085
37.44,32.531826
37.44,34.393135
36.0,31.305626
38.88,39.27648
37.44,34.262993
40.32,39.33697
40.32,39.46915
37.44,36.29547
37.44,39.33771
37.44,38.585583
37.44,35.404243
36.0,33.51738
36.0,33.99875
37.44,36.09248
37.44,36.172764
36.0,32.769947
37.44,38.10932
37.44,36.25113
36.0,35.31063
36.0,35.94906
37.44,37.14593
38.88,39.00672
36.0,35.57684
37.44,36.149414
37.44,38.333195
36.0,34.254093
38.88,36.98801
38.88,37.74729
37.44,35.48568
34.56,28.831886
