Terminal,Date,Latitude,Longitude,Course,Speed,Average Speed,Wind Speed,Wind Direction,Pressure,Significant Wave Height,Wind Wave Height,Swell Height,Wind Wave Direction,Swell Direction,Swell Period,Wind Wave Period,Current Speed ,Current Direction 
AIS.636013411.S-19,15.07.2019 13:49 Z,"51° 30' 22.12"" N","000° 33' 33.36"" E",081°,000.0 kn.,000.0 kn.,003.0m/s,022°,1022mb,0.9m,0.5m,0.8m,-005°,010°,006sec,003sec,1.34m/s,085°
AIS.636013411.S-19,15.07.2019 13:46 Z,"51° 30' 22.14"" N","000° 33' 33.34"" E",081°,000.0 kn.,000.0 kn.,003.0m/s,022°,1022mb,0.9m,0.5m,0.8m,-005°,010°,006sec,003sec,1.34m/s,085°
AIS.636013411.S-19,15.07.2019 13:40 Z,"51° 30' 22.17"" N","000° 33' 33.28"" E",081°,000.0 kn.,000.0 kn.,003.0m/s,022°,1022mb,0.9m,0.5m,0.8m,-005°,010°,006sec,003sec,1.33m/s,085°
AIS.636013411.S-34,15.07.2019 13:37 Z,"51° 30' 22.10"" N","000° 33' 33.41"" E",080°,000.0 kn.,000.0 kn.,003.0m/s,022°,1022mb,0.9m,0.5m,0.8m,-005°,010°,006sec,003sec,1.33m/s,085°
AIS.636013411.S-19,15.07.2019 13:34 Z,"51° 30' 22.03"" N","000° 33' 33.24"" E",081°,000.0 kn.,000.0 kn.,003.0m/s,022°,1022mb,0.9m,0.5m,0.8m,-005°,010°,006sec,003sec,1.29m/s,084°
AIS.636013411.S-19,15.07.2019 13:28 Z,"51° 30' 22.14"" N","000° 33' 33.19"" E",081°,000.0 kn.,000.1 kn.,003.0m/s,020°,1022mb,0.9m,0.5m,0.8m,-005°,010°,006sec,003sec,1.27m/s,084°
AIS.636013411.S-19,15.07.2019 13:25 Z,"51° 30' 22.00"" N","000° 33' 33.34"" E",081°,000.0 kn.,000.0 kn.,003.0m/s,020°,1022mb,0.9m,0.5m,0.8m,-005°,010°,006sec,003sec,1.27m/s,083°
AIS.636013411.S-19,15.07.2019 13:19 Z,"51° 30' 22.03"" N","000° 33' 33.47"" E",081°,000.0 kn.,000.0 kn.,003.0m/s,020°,1022mb,0.9m,0.5m,0.8m,-005°,010°,006sec,003sec,1.22m/s,083°
AIS.636013411.S-19,15.07.2019 13:10 Z,"51° 30' 22.17"" N","000° 33' 33.26"" E",081°,000.0 kn.,000.0 kn.,003.0m/s,020°,1022mb,0.9m,0.5m,0.8m,-005°,010°,006sec,003sec,1.14m/s,083°
AIS.636013411.S-19,15.07.2019 13:04 Z,"51° 30' 22.23"" N","000° 33' 33.44"" E",081°,000.0 kn.,000.0 kn.,003.0m/s,020°,1022mb,0.9m,0.5m,0.8m,-005°,010°,006sec,003sec,1.08m/s,082°
AIS.636013411.S-19,15.07.2019 12:58 Z,"51° 30' 22.11"" N","000° 33' 33.24"" E",081°,000.0 kn.,000.0 kn.,003.0m/s,020°,1022mb,0.9m,0.5m,0.8m,-005°,010°,006sec,003sec,1.01m/s,082°
AIS.636013411.S-19,15.07.2019 12:55 Z,"51° 30' 22.13"" N","000° 33' 33.02"" E",081°,000.0 kn.,000.0 kn.,003.0m/s,020°,1022mb,0.9m,0.5m,0.8m,-005°,010°,006sec,003sec,0.99m/s,082°
AIS.636013411.S-34,15.07.2019 12:52 Z,"51° 30' 22.03"" N","000° 33' 33.10"" E",080°,000.0 kn.,000.0 kn.,003.0m/s,020°,1022mb,0.9m,0.5m,0.8m,-005°,010°,006sec,003sec,0.91m/s,082°
AIS.636013411.S-19,15.07.2019 12:49 Z,"51° 30' 22.12"" N","000° 33' 33.15"" E",081°,000.0 kn.,000.0 kn.,003.0m/s,020°,1022mb,0.9m,0.5m,0.8m,-005°,010°,006sec,003sec,0.91m/s,082°
AIS.636013411.S-19,15.07.2019 12:43 Z,"51° 30' 22.14"" N","000° 33' 33.23"" E",081°,000.0 kn.,000.0 kn.,003.0m/s,020°,1022mb,0.9m,0.5m,0.8m,-005°,010°,006sec,003sec,0.83m/s,082°
AIS.636013411.S-19,15.07.2019 12:40 Z,"51° 30' 22.14"" N","000° 33' 33.34"" E",081°,000.0 kn.,000.0 kn.,003.0m/s,020°,1022mb,0.9m,0.5m,0.8m,-005°,010°,006sec,003sec,0.78m/s,082°
