clusters,error,models,partitioners,var
10,3.02357512953,RandomForestModeler,KMeansPartitioner,36.2208530844
11,2.99502590674,RandomForestModeler,KMeansPartitioner,36.2208530844
12,3.06723316062,RandomForestModeler,KMeansPartitioner,36.2208530844
13,2.12643523316,RandomForestModeler,KMeansPartitioner,36.2208530844
14,2.21042487047,RandomForestModeler,KMeansPartitioner,36.2208530844
15,2.17006217617,RandomForestModeler,KMeansPartitioner,36.2208530844
16,2.19820725389,RandomForestModeler,KMeansPartitioner,36.2208530844
17,2.1625388601,RandomForestModeler,KMeansPartitioner,36.2208530844
18,2.01644559585,RandomForestModeler,KMeansPartitioner,36.2208530844
19,2.33859067358,RandomForestModeler,KMeansPartitioner,36.2208530844
20,2.97215544041,RandomForestModeler,KMeansPartitioner,36.2208530844
21,2.57499481865,RandomForestModeler,KMeansPartitioner,36.2208530844
22,2.5527253886,RandomForestModeler,KMeansPartitioner,36.2208530844
23,3.1018238342,RandomForestModeler,KMeansPartitioner,36.2208530844
24,2.7129015544,RandomForestModeler,KMeansPartitioner,36.2208530844
25,2.79547150259,RandomForestModeler,KMeansPartitioner,36.2208530844
26,5.11589637306,RandomForestModeler,KMeansPartitioner,36.2208530844
27,2.80362694301,RandomForestModeler,KMeansPartitioner,36.2208530844
28,2.70612435233,RandomForestModeler,KMeansPartitioner,36.2208530844
29,1.8249119171,RandomForestModeler,KMeansPartitioner,36.2208530844
1,75.1459274292,TensorFlow,KMeansPartitioner,36.2208530844
1,66.1402206421,TensorFlowW,KMeansPartitioner,36.2208530844
2,5.72104072571,TensorFlowW,KMeansPartitioner,36.2208530844
3,43.1551208496,TensorFlowW,KMeansPartitioner,36.2208530844
4,47.9513206482,TensorFlowW,KMeansPartitioner,36.2208530844
5,3.9016289711,TensorFlowW,KMeansPartitioner,36.2208530844
6,1.71184837818,TensorFlowW,KMeansPartitioner,36.2208530844
7,6.39907550812,TensorFlowW,KMeansPartitioner,36.2208530844
8,36.7168388367,TensorFlowW,KMeansPartitioner,36.2208530844
9,55.1847801208,TensorFlowW,KMeansPartitioner,36.2208530844
10,8.40495681763,TensorFlowW,KMeansPartitioner,36.2208530844
11,15.252779007,TensorFlowW,KMeansPartitioner,36.2208530844
12,2.96145915985,TensorFlowW,KMeansPartitioner,36.2208530844
13,2.64227843285,TensorFlowW,KMeansPartitioner,36.2208530844
14,2.05378723145,TensorFlowW,KMeansPartitioner,36.2208530844
15,446.850311279,TensorFlowW,KMeansPartitioner,36.2208530844
16,12.8478221893,TensorFlowW,KMeansPartitioner,36.2208530844
17,5.42328453064,TensorFlowW,KMeansPartitioner,36.2208530844
18,8.95486450195,TensorFlowW,KMeansPartitioner,36.2208530844
19,23.7209644318,TensorFlowW,KMeansPartitioner,36.2208530844
20,37.0693702698,TensorFlowW,KMeansPartitioner,36.2208530844
21,59.982383728,TensorFlowW,KMeansPartitioner,36.2208530844
22,29.1956291199,TensorFlowW,KMeansPartitioner,36.2208530844
23,6.92822599411,TensorFlowW,KMeansPartitioner,36.2208530844
24,16.4972305298,TensorFlowW,KMeansPartitioner,36.2208530844
25,3.42021799088,TensorFlowW,KMeansPartitioner,36.2208530844
26,5.56566429138,TensorFlowW,KMeansPartitioner,36.2208530844
27,23.9090633392,TensorFlowW,KMeansPartitioner,36.2208530844
28,7.20149230957,TensorFlowW,KMeansPartitioner,36.2208530844
29,48.7908210754,TensorFlowW,KMeansPartitioner,36.2208530844
1,11.5778611861,Analytical method,KMeansPartitioner,36.2208530844
