draft,windDir,ws,stwC,swh,dt,lat,lon,currSpeed,currDir,sovg,vslHeading
11.29,44.2480807842942,13.63,15.910827501356897,1.75,2019-12-02 05:36:28.825133,43.576667,-9.691667,0.47,243.34808078429418,15.7,29.041919215705803
11.29,50.653688099474294,13.63,16.662646632772315,1.75,2019-12-02 06:36:33.005262,43.830715,-9.545276,0.47,249.7536880994743,16.5,22.636311900525712
11.29,53.041323040413715,13.42,16.472273870500512,1.64,2019-12-02 07:36:35.053431,44.084763,-9.398886,0.03,22.451323040413715,16.5,22.548676959586285
11.29,53.12926585032899,13.42,16.472291488332306,1.64,2019-12-02 08:36:34.986932,44.338812,-9.252495,0.03,22.539265850328988,16.5,22.460734149671012
11.29,59.337692080643336,12.26,16.47230926882649,2.11,2019-12-02 09:36:32.776044,44.59286,-9.106104,0.03,22.627692080643342,16.5,22.372307919356658
11.29,66.57683906468257,11.03,16.472327261011788,2.11,2019-12-02 10:36:28.427580,44.846908,-8.959714,0.03,22.716839064682578,16.5,22.283160935317422
11.29,66.67019231475692,11.03,16.47234617393796,2.11,2019-12-02 11:38:47.820525,45.111272,-8.807379,0.03,22.81019231475692,16.5,22.18980768524308
11.29,59.962404820542005,11.03,15.671176974584482,2.11,2019-12-02 12:38:56.971309,45.340765,-8.627651,0.03,16.102404820542002,15.7,28.897595179457998
11.29,71.8817014381512,9.03,16.10207091798418,2.38,2019-12-02 13:39:02.839200,45.570259,-8.447923,0.47,148.8117014381512,15.7,28.79829856184881
11.29,71.98135857265711,9.03,16.10249364980048,2.38,2019-12-02 14:39:05.397331,45.799752,-8.268195,0.47,148.91135857265712,15.7,28.698641427342885
11.29,72.08169311195937,9.03,16.102918024955635,2.38,2019-12-02 15:39:04.655201,46.029245,-8.088467,0.47,149.01169311195937,15.7,28.598306888040632
11.29,75.61260018986425,8.77,16.10334357553871,2.2,2019-12-02 16:39:00.610454,46.258738,-7.908739,0.47,149.11260018986425,15.7,28.497399810135754
11.29,75.71589905021106,8.77,16.1037779169838,2.2,2019-12-02 17:39:48.072020,46.491734,-7.726268,0.47,149.21589905021108,15.7,28.394100949788935
11.29,82.95559654931799,7.17,15.470342814353,2.1,2019-12-02 18:40:02.412855,46.696864,-7.512504,0.47,141.995596549318,15.1,35.614403450682005
11.29,68.71958110110701,6.62,15.070410532055142,1.96,2019-12-02 19:40:12.195446,46.901994,-7.29874,0.03,9.489581101107007,15.1,35.51041889889299
11.29,68.82418324344184,6.62,15.070419611121652,1.96,2019-12-02 20:40:17.433195,47.107125,-7.084975,0.03,9.59418324344184,15.1,35.40581675655816
11.29,68.92938727971186,6.62,15.07042884187433,1.96,2019-12-02 21:40:18.087728,47.312255,-6.871211,0.03,9.699387279711857,15.1,35.30061272028814
11.29,89.52521168590394,6.17,15.070438227640981,1.85,2019-12-02 22:40:14.172911,47.517385,-6.657447,0.03,9.805211685903949,15.1,35.19478831409605
11.29,71.78880714008778,5.91,15.070447513399682,1.76,2019-12-02 23:38:47.627684,47.718054,-6.448332,0.03,9.908807140087788,15.1,35.09119285991221
11.29,79.14400502114,5.91,15.671351577065073,1.76,2019-12-03 00:38:56.048333,47.949914,-6.26675,0.03,17.26400502114,15.7,27.73599497886
11.29,86.12091443009682,7.43,15.671368239690583,1.79,2019-12-03 01:39:01.098249,48.181775,-6.085168,0.03,17.370914430096818,15.7,27.629085569903182
11.29,86.22820840236713,7.43,15.67138506247767,1.79,2019-12-03 02:39:02.752642,48.413635,-5.903586,0.03,17.478208402367123,15.7,27.521791597632877
11.29,104.19619207430073,6.23,15.671402094718859,1.71,2019-12-03 03:39:01.023520,48.645495,-5.722004,0.03,17.58619207430071,15.7,27.41380792569929
11.29,104.25353853602772,6.23,15.671411181264611,1.71,2019-12-03 04:13:46.873027,48.78,-5.616667,0.03,17.643538536027705,15.7,27.356461463972295
