FOC_pred,FOC_act,PERC,stw
25.68,24.53,4.7037563,13.06
37.32,37.74,1.1225762,14.75
80.93,78.6,2.961108,18.39
73.84,69.56,6.157479,17.77
31.46,33.2,5.2504077,13.98
56.11,56.07,0.07161997,16.82
79.97,75.9,5.3650827,18.28
45.94,42.13,9.049769,15.57
78.64,77.19,1.8759475,18.3
57.64,54.53,5.70101,16.5
49.05,51.61,4.9583597,15.31
30.32,25.13,20.66766,12.44
58.92,58.72,0.33279204,17.11
91.84,86.56,6.095689,19.55
26.39,25.33,4.1677337,13.15
65.95,65.72,0.34491318,17.66
86.4,83.82,3.0740945,18.93
27.05,24.93,8.503669,13.26
56.16,53.44,5.085476,16.51
80.19,80.13,0.07324714,18.72
75.22,74.56,0.8908055,18.37
45.05,39.8,13.185866,15.62
68.46,66.18,3.4405823,17.71
55.22,53.03,4.134627,16.64
39.68,39.07,1.5678532,14.82
24.73,22.4,10.399844,12.16
72.31,70.2,3.0072315,17.93
90.38,83.78,7.8825364,19.35
84.5,82.75,2.1105993,19.25
82.81,80.0,3.5168269,19.02
68.24,65.98,3.4216297,17.74
57.88,52.49,10.261906,16.54
27.4,27.13,0.99541384,13.4
52.48,53.6,2.0809884,16.25
56.5,53.97,4.6905017,16.75
73.0,70.33,3.8011804,17.84
29.08,27.67,5.109992,13.41
29.49,32.28,8.649005,13.74
96.22,98.08,1.8950738,20.76
40.47,37.91,6.754832,14.98
79.87,75.24,6.1536384,18.27
85.4,83.61,2.1396067,19.02
60.24,56.79,6.083055,16.92
69.51,67.37,3.1721723,17.39
27.93,30.74,9.126601,13.36
86.63,79.67,8.73184,19.41
31.59,28.95,9.129948,12.49
73.55,73.58,0.042698894,18.2
82.13,75.53,8.738318,18.85
74.62,74.5,0.16066788,18.45
87.01,82.48,5.4934044,19.15
60.11,58.16,3.35837,16.63
63.27,61.08,3.5916486,17.09
38.06,36.18,5.1979623,14.12
84.2,80.27,4.8929543,19.07
33.0,36.19,8.816316,14.53
29.84,29.6,0.81350344,12.22
52.54,52.05,0.9505962,16.43
30.62,32.33,5.2788715,13.9
87.03,82.6,5.3627257,18.93
79.37,79.86,0.61177504,18.7
85.04,81.53,4.3100324,19.21
32.23,31.27,3.0587723,14.27
72.25,65.27,10.698651,17.81
