FOC_pred,FOC_act,PERC,stw
45.12,46.17,2.2784657,15.69
67.58,75.93,10.994367,17.91
34.37,32.99,4.173075,12.57
29.72,28.27,5.13236,12.54
51.16,49.93,2.4553723,16.11
36.53,35.47,2.9836266,14.38
37.65,36.07,4.3881392,14.16
27.78,27.07,2.6161115,13.76
36.42,37.13,1.911756,13.98
33.65,34.4,2.1714609,14.37
32.84,33.28,1.3356255,13.32
29.72,27.73,7.1594634,12.67
32.88,32.6,0.8636077,13.27
31.12,32.82,5.190801,13.77
35.75,34.47,3.7001896,12.63
34.02,34.24,0.6415242,13.5
26.85,26.63,0.84142506,13.24
30.76,29.89,2.896311,12.73
32.45,34.84,6.8550243,13.24
61.09,59.43,2.794094,17.29
35.96,35.56,1.1254215,14.36
56.04,53.73,4.3069444,15.75
34.05,34.46,1.2001795,13.69
30.75,32.29,4.754366,13.33
55.18,54.39,1.4447596,16.0
38.66,36.54,5.79811,14.23
29.75,28.78,3.367365,13.02
33.13,33.86,2.169905,13.42
31.88,30.29,5.245662,13.17
33.32,36.29,8.170811,14.74
31.92,29.04,9.903178,13.97
36.71,36.43,0.7752013,14.0
36.42,34.53,5.4735217,14.41
47.18,44.75,5.4286337,15.75
28.24,27.2,3.8149073,13.48
36.75,37.53,2.083091,14.06
38.44,37.33,2.9619954,13.83
37.87,36.03,5.119847,14.17
32.55,33.73,3.4933376,13.65
32.79,36.21,9.444204,14.67
31.79,30.33,4.8211083,13.04
27.66,27.47,0.7021848,13.75
30.86,32.46,4.9404035,13.43
36.52,36.06,1.2714281,13.99
28.41,27.73,2.4652534,12.47
30.91,28.8,7.3140664,12.66
30.84,29.09,5.9997554,13.15
35.34,35.27,0.20421122,13.85
32.13,30.77,4.412664,12.49
47.87,43.73,9.478411,16.05
32.5,30.15,7.8047504,13.15
31.52,30.64,2.8780048,12.39
35.92,35.67,0.69774634,14.32
33.86,33.62,0.72743624,13.55
34.79,35.52,2.0438056,13.69
34.38,35.32,2.651949,13.68
32.41,30.59,5.944044,13.43
36.88,36.73,0.40394455,14.03
38.18,39.13,2.436717,14.22
31.33,30.28,3.4526157,13.52
43.63,43.0,1.4686584,15.56
37.73,37.07,1.7802092,14.05
26.39,28.13,6.179647,12.56
29.76,30.42,2.185463,12.86
46.7,44.62,4.6711063,16.02
27.66,27.47,0.6901797,12.91
35.82,37.0,3.1764674,13.87
35.9,32.55,10.293823,13.24
37.37,38.23,2.2422898,14.12
33.88,36.12,6.215137,12.18
28.09,27.03,3.9229286,12.77
37.19,34.93,6.475222,14.48
27.54,26.28,4.7818565,12.76
28.32,27.2,4.1115355,12.96
61.94,61.0,1.5401872,16.84
32.69,32.6,0.27582836,13.22
34.53,35.52,2.7894437,13.69
