'draft','windDir','ws','stwC','swh','dt',lat,lon,'currSpeed','currDir','sovg','vslHeading'
12.76,49.27,15.21,17.7969103524682,3.2,2019-11-23 14:30:37,40.335708,-173.772009,0.03,317.4,17.807951808775,87.6048623105969
12.76,63.1,13.72,17.7858688961614,3.29,2019-11-23 15:30:36,40.351950,-173.383699,0.03,317.4,17.807951808775,87.604854919295
12.76,64.48,13.72,17.7856275784122,3.29,2019-11-23 16:30:16,40.368114,-172.997255,0.03,318.78,17.807951808775,86.2220624177585
12.76,104.56,14.33,18.1096607814425,3.11,2019-11-23 17:30:19,40.394208,-172.602090,0.03,318.78,18.1322263295544,86.2220528850159
12.76,72.74,13.01,18.0943773231632,3.21,2019-11-23 18:30:21,40.420302,-172.206926,0.51,275.98,18.1322263295544,86.2220624177585
12.76,72.74,13.01,18.079093864884,3.21,2019-11-23 19:30:21,40.446396,-171.811761,0.51,275.98,18.1322263295544,86.2219180552181
12.76,110.06,11.05,18.3392988305849,3.07,2019-11-23 20:30:19,40.472491,-171.416596,0.47,186.17,18.1322263295544,86.2220839160671
12.76,102.78,11.05,18.6008209643024,3.07,2019-11-23 21:33:32,40.5,-171,0.47,178.89,18.1322263295544,93.4995662189474
12.76,95.08,8.42,18.7407411714434,2.76,2019-11-23 22:33:29,40.475333,-170.596648,0.51,268.7,18.5,93.4995662189474
12.76,78.99,11.19,18.4958459693378,2.86,2019-11-23 23:33:27,40.450666,-170.193296,0.03,311.5,18.5,93.4994246991236
12.76,78.99,11.19,18.4801213985535,2.86,2019-11-24 00:33:26,40.426000,-169.789944,0.03,311.5,18.5,93.4995748736153
12.76,88.65,7.37,18.2227429116691,2.72,2019-11-24 01:33:27,40.401333,-169.386593,0.69,39.21,18.5,93.4995662189474
12.76,88.65,7.37,17.9653644247847,2.72,2019-11-24 02:33:29,40.376666,-168.983241,0.69,39.21,18.5,93.4995246853275
12.76,94.55,7.37,17.9891991760924,2.72,2019-11-24 03:32:08,40.352575,-168.589303,0.69,45.11,18.5,87.6007232400512
12.76,129.69,7.93,18.2646780833987,2.42,2019-11-24 04:32:11,40.369516,-168.184981,0.03,317.4,18.5192025760055,87.6008587732052
12.76,129.69,7.93,18.4971196633919,2.42,2019-11-24 05:32:12,40.386456,-167.780660,0.03,317.4,18.5192025760055,87.6007232400512
12.76,189.74,5.63,18.4877103939948,2.87,2019-11-24 06:32:13,40.403397,-167.376338,0.51,274.6,18.5192025760055,87.6007232400512
12.76,104.09,6.79,18.4877103939948,2.64,2019-11-24 07:32:13,40.420338,-166.972016,0.03,317.4,18.5192025760055,87.6008587732052
12.76,104.09,6.79,18.4971196633919,2.64,2019-11-24 08:32:11,40.437278,-166.567695,0.03,317.4,18.5192025760055,87.6007232400512
12.76,98.28,8.8,18.2544219493586,2.87,2019-11-24 09:32:09,40.454219,-166.163373,0.51,354.3,18.5192025760055,93.4995594318383
12.76,101.67,9.4,18.4054513680649,2.75,2019-11-24 10:32:06,40.429648,-165.761590,0.66,131.5,18.4405259224938,93.4995594318383
12.76,86.63,8.12,18.6350750905999,2.92,2019-11-24 11:32:04,40.405077,-165.359807,0.47,84.11,18.4405259224938,93.4995594318383
12.76,86.63,8.12,18.3922950268837,2.92,2019-11-24 12:32:04,40.380506,-164.958024,0.47,84.11,18.4405259224938,93.4994260474617
12.76,85.94,6.59,18.1626713043486,2.89,2019-11-24 13:32:04,40.355936,-164.556242,0.51,354.3,18.4405259224938,93.4995594318383
12.76,62.31,11.02,17.9330475818136,3.22,2019-11-24 14:32:06,40.331365,-164.154459,0.51,354.3,18.4405259224938,93.4995594318383
12.76,62.31,11.02,17.9330475818136,3.22,2019-11-24 15:32:10,40.306794,-163.752676,0.51,354.3,18.4405259224938,93.4995594318383
12.76,54.79,4.52,18.4618921382647,3.22,2019-11-24 16:32:07,40.282223,-163.350893,0.47,178.89,18.4806754072225,93.4995594318383
12.76,54.79,4.52,18.9505872099872,3.22,2019-11-24 17:32:05,40.257652,-162.949110,0.47,178.89,18.4806754072225,93.4995594318383
12.76,54.79,4.52,18.9505872099872,3.22,2019-11-24 18:32:04,40.233081,-162.547327,0.47,178.89,18.4806754072225,93.4994173593642
12.76,305.96,8.5,18.7056920078816,2.99,2019-11-24 19:32:05,40.208511,-162.145544,0.03,311.5,18.4806754072225,93.4995594318383
