stw,draft,foc,ws,wd,swh
12.674,7.24,32.72,3,1.7,1.7
12.594,7.439999999999999,32.72,3,1.7,1.7
12.565,7.445,29.59,4,1.7,1.7
12.588,7.465,29.59,4,1.7,1.7
12.6,6.5625,32.72,3,1.7,1.7
12.62,6.5625,32.72,3,1.7,1.7
12.67,7.435,32.72,3,1.06,1.06
12.671,7.435,32.72,4,1.76,1.76
12.671,7.6400000000000015,32.72,4,1.44,1.44
12.673,7.485,32.72,3,1.7,1.7
12.675999999999998,7.425000000000002,32.72,4,1.7,1.7
12.608,7.455,29.59,4,1.7,1.7
12.667,7.465,29.59,5,1.7,1.7
12.66,7.35,29.59,4,1.7,1.7
12.621,7.42,32.72,3,1.7,1.7
12.662,7.375,29.0,5,1.7,1.7
12.562,7.455,32.72,4,1.7,1.7
12.563,7.42,29.0,4,1.7,1.7
12.575,7.397499999999999,32.72,4,1.7,1.7
12.566,7.465,32.72,3,1.7,1.7
12.526,7.3900000000000015,32.72,3,1.7,1.7
12.556,7.465,32.72,3,1.7,1.7
12.527,7.460000000000001,29.57,2,1.7,1.7
12.467,7.5,32.72,3,1.7,1.7
12.579,7.45,32.72,2,1.7,1.7
12.657,7.46,32.72,3,1.44,1.44
12.623,7.445,32.72,4,0.8,0.8
12.613,7.465,32.72,3,0.8,0.8
12.655,7.449999999999997,32.72,3,1.44,1.44
12.675999999999998,7.42,29.57,2,1.44,1.44
12.724,7.45,32.72,3,1.44,1.44
12.718,7.465,32.72,2,1.44,1.44
12.774,7.495,33.99,2,1.44,1.44
12.754,7.465,33.99,2,1.44,1.44
12.722,7.465,32.72,2,1.44,1.44
12.804,7.46,33.99,3,1.44,1.44
12.655,7.49,32.72,3,1.44,1.44
12.654000000000002,7.49,29.57,2,1.44,1.44
12.556,7.49,29.57,2,1.44,1.44
12.508,7.49,31.66,5,1.44,1.44
12.458,7.415,32.72,3,1.44,1.44
12.498,7.449999999999997,32.72,3,0.48,0.48
12.479,7.449999999999997,32.72,4,0.48,0.48
12.42,7.3450000000000015,32.72,2,1.44,1.44
12.492,7.385,32.72,2,1.22,1.22
12.521,7.64,29.57,1,1.22,1.22
12.523,7.504999999999999,32.72,4,1.03,1.03
12.554,7.41,29.57,2,1.22,1.22
12.555,7.415,29.57,2,1.22,1.22
12.523,7.42,29.57,2,1.22,1.22
12.542,7.4049999999999985,29.57,2,1.22,1.22
12.505,6.5625,32.72,3,1.22,1.22
12.524,7.515,29.57,1,1.22,1.22
12.508,7.5175,32.72,3,1.22,1.22
12.56,7.439999999999999,29.57,1,0.8,0.8
12.461,7.460000000000001,31.19,4,1.02,1.02
12.502,7.4700000000000015,32.72,3,1.22,1.22
12.499,7.41,32.72,3,1.22,1.22
12.479,7.43,32.72,3,1.22,1.22
12.434,7.435,32.72,2,1.22,1.22
12.439,7.465,32.72,3,1.22,1.22
12.446,7.455,31.19,5,1.22,1.22
12.468,7.5,31.53,5,1.22,1.22
12.469,7.495,31.53,5,1.22,1.22
12.469,7.49,31.53,5,1.22,1.22
12.519,7.49,31.66,6,1.22,1.22
12.52,7.38,31.66,6,0.81,0.81
12.53,7.4,31.66,6,0.81,0.81
12.531,7.3450000000000015,31.66,6,0.81,0.81
12.474,6.555,31.53,6,0.81,0.81
12.475,7.425000000000002,31.53,6,0.81,0.81
12.557,7.439999999999999,31.66,6,0.81,0.81
12.557,7.34,31.66,6,0.81,0.81
12.578,7.34,31.66,6,0.81,0.81
12.579,7.449999999999997,31.66,6,0.81,0.81
12.579,7.455,31.66,6,0.81,0.81
12.569,7.455,31.66,6,0.81,0.81
12.630999999999998,7.4674999999999985,31.66,5,0.81,0.81
12.642,7.495000000000001,31.66,5,0.81,0.81
12.644,7.425000000000002,31.66,5,0.81,0.81
12.684,7.46,31.66,5,0.81,0.81
12.685,7.445,31.66,5,1.36,1.36
12.646,7.4,31.66,5,1.36,1.36
12.647,7.455,31.66,6,0.81,0.81
12.588,7.48,31.66,6,0.81,0.81
12.59,7.47,32.72,3,0.64,0.64
12.591,7.495,31.66,6,0.64,0.64
12.592,7.479999999999999,31.66,6,0.81,0.81
12.593,7.43,31.66,6,0.81,0.81
12.614,7.48,31.66,6,0.81,0.81
12.587,7.455,31.66,6,0.81,0.81
12.484000000000002,7.455,31.53,6,0.81,0.81
12.478,7.459999999999999,31.53,6,0.81,0.81
12.483,7.445,31.19,4,0.81,0.81
12.484000000000002,7.49,31.19,4,0.81,0.81
12.366,7.425,29.0,6,0.81,0.81
12.367,7.395,31.53,6,0.81,0.81
12.398,7.395,31.53,6,0.81,0.81
12.399,7.4700000000000015,31.53,6,0.81,0.81
12.43,7.455,31.53,6,0.64,0.64
12.423,7.445,31.53,6,0.81,0.81
12.474,7.449999999999997,31.53,6,0.81,0.81
12.476,7.445,31.53,6,0.81,0.81
12.459,7.43,31.53,5,0.81,0.81
12.48,6.3625000000000025,31.19,5,0.64,0.64
12.38,6.0058333333333325,31.53,5,0.81,0.81
12.382,6.0058333333333325,31.53,5,0.81,0.81
12.385,7.41,31.53,5,0.81,0.81
12.438,6.3900000000000015,31.53,5,0.81,0.81
12.456,6.375,31.53,5,0.81,0.81
12.468,6.555,31.53,5,1.35,1.35
12.479,7.42,31.53,6,0.81,0.81
12.468,7.445,31.53,6,0.81,0.81
12.409,7.49,28.5,6,0.81,0.81
12.412,7.465,28.5,5,0.81,0.81
12.445,7.465,32.72,3,0.81,0.81
12.416,7.4675,31.53,5,0.81,0.81
12.417,6.3625,31.53,6,0.81,0.81
12.518,7.475,31.66,6,0.81,0.81
12.518,7.449999999999997,31.66,6,0.81,0.81
12.558,7.3975,31.66,5,0.81,0.81
12.6,7.475,31.66,5,0.95,0.95
12.653,7.479999999999999,31.66,5,0.81,0.81
12.726,7.42,31.66,5,0.64,0.64
12.728,7.445,31.66,5,0.81,0.81
12.749,7.44,32.72,3,0.0,0.0
12.702,7.43,29.59,4,0.81,0.81
12.733,7.43,29.59,4,0.81,0.81
12.835,7.465,32.54,5,0.81,0.81
12.837,7.4700000000000015,31.83,5,0.81,0.81
12.838,7.435,31.83,5,0.81,0.81
12.85,7.415,31.83,5,0.0,0.0
12.768,7.425,31.83,5,0.81,0.81
12.819,7.445,31.83,5,0.81,0.81
12.87,7.380000000000001,31.83,6,0.81,0.81
12.873,7.375,31.83,5,1.44,1.44
12.872,7.399999999999999,31.83,5,0.81,0.81
12.863,7.399999999999999,31.83,5,0.81,0.81
12.876,7.4049999999999985,32.54,5,0.81,0.81
12.876,7.45,31.83,5,0.81,0.81
12.877,7.41,32.54,5,0.81,0.81
12.880999999999998,6.357500000000001,31.83,5,1.44,1.44
12.884,7.42,32.54,4,0.81,0.81
12.864,7.405,32.54,5,0.81,0.81
12.864,7.405,31.83,5,0.81,0.81
12.848,7.435,31.83,5,0.81,0.81
12.821,7.435,32.54,4,0.81,0.81
12.821,7.465,31.83,5,0.81,0.81
12.831,7.455,31.83,5,0.64,0.64
12.803,7.455,31.83,5,0.64,0.64
12.823,7.395,31.83,5,0.81,0.81
12.726,7.405,31.66,5,0.81,0.81
12.731,7.414999999999999,31.66,6,0.81,0.81
12.724,7.6525,31.66,5,0.81,0.81
12.732,7.4700000000000015,31.66,5,0.81,0.81
12.735,7.41,31.66,5,0.81,0.81
12.736,7.435,31.66,5,0.81,0.81
12.739,7.449999999999997,31.66,5,0.81,0.81
12.8,7.415000000000001,31.83,5,0.81,0.81
12.842,7.44,31.83,5,0.81,0.81
12.845,7.44,31.83,5,0.81,0.81
12.843,7.399999999999999,31.83,5,0.81,0.81
