stw,draft,foc,ws,wd,swh,vslHeading
12.8408,15.105,34.0,6.08,155.6,0.94,248.0
12.8402,15.105,34.0,5.27,157.01,0.99,247.79
12.8302,15.135,34.0,5.27,157.10000000000005,0.99,247.7
12.8302,15.22,34.0,7.78,148.0,0.99,247.7
12.8407,15.125,34.0,8.55,157.64,0.99,248.16
12.851,15.045,35.0,8.55,156.34,0.99,248.16
12.8209,15.13,34.0,8.36,158.74,0.99,248.06
12.8209,15.135000000000002,34.0,8.36,158.95,0.99,247.85
12.8917,15.14,34.0,7.17,162.25,0.99,247.85
12.8804,15.235,32.0,6.08,161.3,0.99,245.1
12.8602,15.235,33.0,5.18,160.73000000000005,0.99,244.47
12.8006,15.14,34.0,6.78,155.26,0.99,244.94
12.8006,15.19,34.0,6.78,155.06,0.99,245.14
12.861,15.205,35.0,8.49,158.96,0.99,245.14
12.8806,15.2,34.0,6.88,145.64999999999995,0.99,245.05
12.8802,15.1,33.0,7.39,162.66,0.99,244.84
12.7908,15.25,34.0,7.17,161.76,0.99,244.94
12.7908,15.19,35.0,7.17,161.43,0.99,245.27
12.8304,15.14,34.0,6.78,160.43,0.99,245.27
12.9205,15.19,34.0,7.49,161.05,0.99,244.95
12.9503,15.165,33.0,6.17,160.01,0.99,243.79
12.9003,15.165,34.0,5.69,159.0,0.99,243.1
12.9003,15.215,33.0,5.69,160.87,0.99,241.23
12.880999999999998,15.170000000000002,33.0,6.98,171.27,0.99,241.23
12.8002,15.055,33.0,7.97,166.09,0.99,239.41
12.8006,15.16,34.0,9.39,165.0,0.99,239.7
12.8311,15.15,34.0,9.45,162.9,0.99,240.2
12.8311,15.13,34.0,9.45,162.85,0.99,240.25
12.800999999999998,15.11,35.0,8.94,164.95,0.99,240.25
12.7603,15.245,33.0,7.3,160.78,0.99,238.12
12.7901,15.205,33.0,6.27,157.26999999999995,0.99,236.43
12.7701,15.205,34.0,7.17,156.06,0.99,236.64
12.7701,15.204999999999998,34.0,7.17,155.53000000000003,1.01,237.17
12.8507,15.225,34.0,6.78,149.33,1.01,237.17
12.8702,15.11,35.0,6.08,147.5,1.01,237.0
12.8702,15.175,34.0,5.5,150.73999999999995,1.01,236.96
12.8807,15.195,33.0,5.18,164.13,1.01,237.17
12.8807,15.175,34.0,5.18,163.96999999999997,1.01,237.33
12.9708,15.23,34.0,5.79,175.57,1.01,237.33
12.9703,15.125,34.0,7.49,167.26999999999995,1.01,237.33
12.9206,15.165,34.0,7.88,168.12,1.01,237.38
12.8709,15.165,34.0,7.17,158.72,1.01,237.28
12.8709,15.185,34.0,7.17,158.9,1.01,237.1
12.9113,15.18,34.0,6.98,165.2,1.01,237.1
12.8809,15.1,33.0,6.49,161.14999999999995,1.01,237.05
12.9307,15.16,34.0,8.07,162.02,1.01,236.98
12.9307,15.205,34.0,8.07,161.91,1.01,237.09
12.8707,15.18,34.0,8.94,158.11,1.01,237.09
12.8503,15.2,34.0,9.2,156.07,1.01,236.93
12.8506,15.18,34.0,7.88,163.96,1.01,236.94
12.8507,15.105,34.0,8.75,165.04000000000005,1.01,237.16
12.8507,15.105,34.0,8.75,164.83999999999997,1.01,237.36
12.8508,15.175,34.0,8.87,152.23999999999995,1.01,237.36
12.7906,15.14,34.0,8.3,151.24,1.01,237.06
12.8504,15.175,33.0,9.45,165.53000000000003,1.01,236.67
12.9007,15.165,34.0,9.26,161.76999999999995,1.01,236.83
12.9007,15.2,34.0,9.26,161.38,1.01,237.22
12.8307,15.23,34.0,8.07,152.88,1.01,237.22
12.921,15.15,34.0,8.3,166.73999999999995,1.01,237.36
12.8814,15.175,34.0,7.97,160.98,1.01,237.12
12.8814,15.18,34.0,8.87,167.61,1.01,236.89
12.8507,15.18,33.0,8.87,167.53,1.01,236.97
